관계타입,성분A,성분B,심각도,신뢰도,메커니즘유형,상세메커니즘,출처타입,학술참조
HARD,아스코빅애씨드,나이아신아마이드,high,0.85,pH_incompatibility,고온/장시간 결합 시 나이아신산으로 분해되어 자극 유발 (pH 3.5 vs 7.0),paper,"Kawada A et al., J Dermatol Sci, 2008; Brooks JD et al., J Invest Dermatol, 2024"
HARD,아스코빅애씨드,암모늄은아연알루미늄실리케이트,high,0.88,metal_oxidation,"금속 이온(Ag, Zn)이 비타민C 산화 촉매 작용 → 갈변 및 효능 손실",paper,"Lin JY et al., J Invest Dermatol, 2005"
HARD,아스코빅애씨드,아세틸헥사펩타이드-8,high,0.9,pH_incompatibility,산성 비타민C(pH~3.5) + 중성 펩타이드(pH~7) 결합 시 펩타이드 결합 가수분해,paper,"Schagen SK, Cosmetics, 2017"
HARD,아스코빅애씨드,코퍼트라이펩타이드-1,high,0.92,metal_oxidation,구리 이온(Cu2+)이 비타민C 산화를 강력히 촉진 → 양쪽 효능 완전 손실,paper,"Pickart L, Curr Med Chem, 2008"
HARD,아스코빅애씨드,마그네슘아스코빌포스페이트,medium,0.75,redundancy_competition,비타민C 유도체 중복으로 활성 농도 분산 및 pH 호환 범위 충돌,blog,"Lab Muffin Beauty Science (Michelle Wong PhD), 2020"
HARD,아스코빅애씨드,리모넨,medium,0.72,oxidation,리모넨 광산화물(LimOX)이 비타민C 산화를 가속화,paper,"Karlberg AT et al., Contact Dermatitis, 2014"
HARD,아스코빅애씨드,팔미토일펜타펩타이드-4,high,0.88,pH_incompatibility,Matrixyl 활성 pH 범위(6-8)와 비타민C(3-3.5) 간 호환성 충돌,paper,"Fields K et al., Clin Pharmacol Ther, 2009"
HARD,아스코빅애씨드,에스에이치-올리고펩타이드-1,high,0.93,pH_oxidation,강산성에서 EGF 단백질 변성 + 산화로 양쪽 활성 손실,paper,"Eskens O & Amin S, Int J Cosmet Sci, 2021"
HARD,레티놀,글라이콜릭애씨드,high,0.95,pH_degradation,"낮은 pH(<4)에서 레티놀 분해 가속, 자극 증가",paper,"Mukherjee S et al., Clin Interv Aging, 2006"
HARD,레티놀,살리실릭애씨드,high,0.9,pH_degradation,BHA 산성 환경(pH 3-4)에서 레티놀 안정성 저하,paper,"Riahi RR et al., J Cutan Aesthet Surg, 2016"
HARD,레티놀,벤조일퍼옥사이드,high,0.97,oxidation_destruction,BPO 강산화 작용으로 레티놀 분자 파괴 → 완전 불활성화,paper,"Martin B et al., Br J Dermatol, 1998"
HARD,레티놀,아스코빅애씨드,medium,0.78,pH_incompatibility,"pH 호환 범위 차이로 양쪽 효능 저하, 시간 분리 권장",paper,"Riahi RR et al., J Cutan Aesthet Surg, 2016"
HARD,트레티노인,벤조일퍼옥사이드,high,0.98,photodegradation,"광존재 하에서 트레티노인 산화 분해, 활성 80% 이상 손실",paper,"Martin B et al., Br J Dermatol, 1998"
HARD,아다팔렌,벤조일퍼옥사이드,low,0.4,minor_only,아다팔렌은 광안정성이 높아 BPO와 비교적 호환 (Epiduo Forte는 의도적 조합),paper,"Allec J et al., J Am Acad Dermatol, 1997"
HARD,알부틴,아스코빅애씨드,high,0.85,hydrolysis,낮은 pH에서 알부틴이 하이드로퀴논으로 가수분해 → 안전성 우려,paper,"Boissy RE et al., Exp Dermatol, 2005"
HARD,알부틴,글라이콜릭애씨드,high,0.83,hydrolysis,AHA 강산성(pH<4)에서 알부틴 분해 위험,paper,"Boissy RE et al., Exp Dermatol, 2005"
HARD,알부틴,살리실릭애씨드,medium,0.78,hydrolysis,BHA 산성 환경에서 알부틴 안정성 저하,blog,"Beautiful With Brains (Gio), 2019"
HARD,만델릭애씨드,알부틴,medium,0.75,hydrolysis,AHA 산성에서 알부틴 가수분해 위험,blog,INCIDecoder (Judit Racz)
HARD,벤조페논-3,비스-에칠헥실옥시페놀메톡시페닐트리아진,medium,0.78,photodegradation,UV 필터 간 광에너지 전달로 광분해 가속,paper,"Couteau C et al., Pharm Dev Technol, 2007"
HARD,벤조페논-3,벤조페논-8,medium,0.75,photodegradation,"동일 계열 UV 필터 중복, 광에너지 흡수 경쟁",paper,"Couteau C et al., Pharm Dev Technol, 2007"
HARD,에칠헥실메톡시신나메이트,징크옥사이드,medium,0.7,photodegradation,"ZnO 광촉매가 OMC 광분해 가속, 광안정성 저하",paper,"Mitchnick MA et al., J Am Acad Dermatol, 1999"
HARD,글라이콜릭애씨드,트라이에탄올아민,high,0.92,pH_neutralization,강산 AHA(pH 3) + 알칼리(pH 10.5) 중화로 양쪽 효능 소실,paper,"Kornhauser A et al., Clin Cosmet Investig Dermatol, 2010"
HARD,살리실릭애씨드,트라이에탄올아민,high,0.9,pH_neutralization,BHA 활성 pH(3-4) + 알칼리 중화로 효능 무효화,paper,"Kornhauser A et al., Clin Cosmet Investig Dermatol, 2010"
HARD,락틱애씨드,트라이에탄올아민,medium,0.85,pH_neutralization,AHA 활성 pH 이탈로 각질박리 효능 무효화,paper,"Kornhauser A et al., Clin Cosmet Investig Dermatol, 2010"
HARD,시스테인,벤조페논-3,low,0.65,oxidation,광노출 환경에서 시스테인 티올기 산화로 활성 손실,blog,Cosmetic Chemistry Notes (Perry Romanowski)
HARD,글루코노락톤,암모늄은아연알루미늄실리케이트,medium,0.7,metal_chelation,PHA 카르복실기가 금속과 킬레이트 형성으로 양쪽 효능 저하,paper,"Personal Care Products Council (PCPC), 2020"
HARD,아스코빅애씨드,글리시리직애씨드,low,0.65,pH_incompatibility,감초 활성 성분의 pH 호환 범위 충돌,blog,Cosmetic Chemistry Notes
HARD,벤조일퍼옥사이드,아스코빅애씨드,high,0.9,oxidation_destruction,BPO 강산화 작용으로 비타민C 산화 및 분해 가속,paper,"Martin B et al., Br J Dermatol, 1998"
HARD,하이드로퀴논,벤조일퍼옥사이드,high,0.85,oxidation_browning,하이드로퀴논 산화로 갈변 및 효능 손실 (퀴논 생성),paper,"DeCaprio AP, Crit Rev Toxicol, 1999"
HARD,에스에이치-올리고펩타이드-1,글라이콜릭애씨드,high,0.95,protein_denaturation,"강산성에서 EGF 단백질 변성, 활성 완전 손실",paper,"Eskens O & Amin S, Int J Cosmet Sci, 2021"
